title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Saga Caves Stavanger 3,https://www.airbnb.com/rooms/45650800?adults=1&children=0&infants=0&check_in=2021-07-18&check_out=2021-07-24&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.97107,5.72529,109,5.0,4,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Saga Caves Stavanger 2,https://www.airbnb.com/rooms/44471448?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-06&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.9694,5.7253,104,4.60,5,5,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Sentral leilighet. Lite trafikk. Bakgård.,https://www.airbnb.com/rooms/43580128?adults=1&children=0&infants=0&check_in=2021-08-20&check_out=2021-08-25&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Storhaug,Entire apartment,58.96636,5.7376,116,4.62,37,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"★Spacious And Modern 3-Bedroom Near Center, Free Parking",https://www.airbnb.com/rooms/45986521?adults=1&children=0&infants=0&check_in=2021-06-30&check_out=2021-07-05&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Stavanger,Entire apartment,58.96669,5.72251,330,4.90,10,8,0,3,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sacious, newly renovated central  apartement",https://www.airbnb.com/rooms/44358621?adults=1&children=0&infants=0&check_in=2021-07-20&check_out=2021-07-26&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Stavanger,Entire apartment,58.96848,5.75086,151,4.88,8,4,0,2,3,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Koselig hytte på Lauvås Espefjellveien 33,https://www.airbnb.com/rooms/21779157?adults=1&children=0&infants=0&check_in=2021-07-28&check_out=2021-08-03&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Sandnes,Entire cabin,58.9454,5.8867,71,4.31,53,6,0,3,5,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Kozy apartment by the sea,https://www.airbnb.com/rooms/28748639?adults=1&children=0&infants=0&check_in=2021-06-19&check_out=2021-06-26&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Stavanger,Entire apartment,58.99572,5.6758,42,4.85,41,2,1,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Idyllisk øy utenfor Stavanger,https://www.airbnb.com/rooms/14739577?adults=1&children=0&infants=0&check_in=2021-08-08&check_out=2021-08-14&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Stavanger,Entire house,59.00239,5.78406,28,4.78,28,2,0,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Fantastic Sea view, and spacious flat.",https://www.airbnb.com/rooms/11688534?adults=1&children=0&infants=0&check_in=2021-06-05&check_out=2021-06-12&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Stavanger,Entire apartment,58.98624,5.7043,105,4.0,19,4,0,2,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Moderen leilighet i nærheten av Sandnes sentrum.,https://www.airbnb.com/rooms/31564550?adults=1&children=0&infants=0&check_in=2021-08-18&check_out=2021-08-25&previous_page_section_name=1000&federated_search_id=9164c776-9d64-42ff-be8c-e64c8df068aa,Stavanger,Sandnes,Entire apartment,58.8331,5.7388,119,4.96,28,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
